ITEM_ID,ITEM_START,COICOP2,COICOP3,COICOP4,COICOP5,Category1,Category2,ITEM_DESC,WEIGHT\SIZE,AVERAGE_PRICE
310316,202002,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Gin,30ml,4.239
410107,200002,Restaurants and hotels,Accommodation services,Accommodation Services,Accommodation services of other establishments,Recreation and culture,Other,University accommodation fees,,
410401,198702,"Housing, water, electricity, gas and other fuels",Water supply and misc services for the dwelling,Sewerage collection,Sewerage collection,Services,Maintenance and repair,England and Wales sewerage charge,,
410402,198702,"Housing, water, electricity, gas and other fuels",Water supply and misc services for the dwelling,Water supply,Water supply,Services,Maintenance and repair,England and Wales water charges,,
410403,198702,"Housing, water, electricity, gas and other fuels",Water supply and misc services for the dwelling,Water supply,Water supply,Services,Maintenance and repair,Scotland water charges,,
410405,200102,"Housing, water, electricity, gas and other fuels",Water supply and misc services for the dwelling,Sewerage collection,Sewerage collection,Services,Maintenance and repair,Scotland sewerage charges,,
410508,199002,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Services for maintenance and repair,Services of plumbers,Services,Maintenance and repair,Plumber,hourly rate,58.039
410509,199002,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Services for maintenance and repair,Services of electricians,Services,Maintenance and repair,Electrician,hourly rate,46.296
410517,200102,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Services for maintenance and repair,Services of painters,Services,Maintenance and repair,Decorator,daily rate,149.996
410518,200501,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Services for maintenance and repair,Services of carpenters,Services,Maintenance and repair,Carpenter,hourly rate,26.417
410602,198702,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Ready mixed filler,,7.718
410607,198702,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Paint brush,2inch/5cm width,4.268
410611,198702,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Miscellaneous small tool accessories,Household items,Maintenance and repair,Door handle,pack of 1,15.597
410614,198702,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Motorized major tools and equipment,Household items,Maintenance and repair,Power drill,,58.069
410621,199302,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Varnish clear gloss,750ml-1litre,19.127
410625,199702,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Non-motorized small tools,Household items,Maintenance and repair,Screwdriver,,4.821
410631,200702,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Shower head,,13.865
410632,200902,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Repair; leasing and rental of major tools and equipment,Household items,Maintenance and repair,Carpet cleaner hire,,28.241
410633,201102,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Medium density fireboard (MDF),,24.214
410637,201502,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Ceramic tiles,15x15-25x50cm,18.514
410638,201502,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Other non-durable small household articles,Household items,Maintenance and repair,Steel/zinc plated woodscrews,,
410639,201602,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Paint gloss/emulsion,750ml-2.5litre,
410640,202502,"Housing, water, electricity, gas and other fuels",Regular maintenance and repair of the dwelling,Materials for maintenance and repair,Materials for maintenance and repair,Household items,Maintenance and repair,Wallpaper,per roll,20.167
420103,198702,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Solid fuels,Solid fuels,Household items,Solid and liquid fuels,Coal,50kg,34.546
420201,198702,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Electricity,Electricity,Services,Other,TBC1,,
420202,202502,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Electricity,Electricity,Services,Other,TBC2,,
420301,198702,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Gas,Natural gas and town gas,Services,Other,TBC3,,
420302,202502,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Gas,Natural gas and town gas,Services,Other,TBC4,,
420404,198702,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Gas,Liquefied hydrocarbons (butane; propane; etc),Household items,Solid and liquid fuels,Butane gas,,
420405,199902,"Housing, water, electricity, gas and other fuels","Electricity , gas and other fuels",Liquid fuels,Liquid fuels,Household items,Solid and liquid fuels,Kerosene,1000litre,651.533
430101,198702,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Double wardrobe,,553.99
430104,198702,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Armchair,,625.42
430119,198902,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Kitchen base unit,width 800-1000mm,210.876
430120,198902,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Coffee table,,276.297
430127,199802,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Chest of drawers,,326.24
430132,200302,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Single mattress,3FT/90CM,
430133,200302,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Bookcase/freestanding shelve unit,,364.648
430134,200302,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Lighting equipment,Household items,Furniture,Table lamp,,62.975
430136,200501,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Garden furniture,Household items,Furniture,Patio table and chairs,,
430137,200501,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Leather settee,,1643.379
430138,200602,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Home office desk,,265.612
430139,201302,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Kitchen wall unit,width 800-1000mm,162.333
430141,201702,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Dinning table with 2-6 chairs,,988.96
430142,201802,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Other furniture and furnishings,Household items,Furniture,High chair,,79.709
430143,201902,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Non leather settee,,1002.164
430144,202202,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Furniture and furnishings,Household furniture,Household items,Furniture,Adult bed,,625.451
430211,198702,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Bed linen,Household items,Bed linen,Double duvet,10-13.5 tog,28.62
430216,199102,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Bed linen,Household items,Bed linen,Duvet cover,,22.418
430224,199702,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Bed linen,Household items,Bed linen,Fitted bed sheet,,11.249
430228,200102,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Table linen and bathroom linen,Household items,Bed linen,Bath towel,,15.806
430229,200202,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Furnishing fabrics and curtains,Household items,Furnishing fabrics and curtains                                                            ,Fabric roller blind,120-180cm,24.737
430233,201402,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Carpets and other floor coverings,Carpets and rugs,Household items,"Carpets, rugs and flooring",Tufted carpet (synthetic),,23.61
430234,201402,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Carpets and other floor coverings,Carpets and rugs,Household items,"Carpets, rugs and flooring",Tufted carpet (wool),,37.279
430235,201702,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Carpets and other floor coverings,Carpets and rugs,Household items,"Carpets, rugs and flooring",Rug,,81.003
430236,201802,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Furnishing fabrics and curtains,Household items,Furnishing fabrics and curtains                                                            ,Curtains (ready made),,51.174
430237,202102,"Furniture, household equipment and maintenance","Furniture, furnishings and carpets",Carpets and other floor coverings,Other floor coverings,Household items,"Carpets, rugs and flooring",Luxury vinyl tile,per sq. metre,33.361
430238,202502,"Furniture, household equipment and maintenance",Household textiles,Household Textiles,Furnishing fabrics and curtains,Household items,"Carpets, rugs and flooring",Cushion,,11.525
430304,198702,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Cookers,Household items,Cookware,Electric cooker,,437.348
430307,198702,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Coffee machines; tea makers and similar appliances,Household items,Electrical,Electric kettle,1.5-1.7litre,33.231
430317,199902,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Irons,Household items,Electrical,Electric iron,,39.025
430321,199902,Miscellaneous goods and services,Personal care,/ Appliances and products for personal care,Electric appliances for personal care - Not being published,Household items,Electrical,Electric razor,,
430323,200202,Communication,/ Telephone and telefax equip,Telephone and Telefax Equipment & Services,Fixed telephone equipment,Household items,Electrical,Telephone (non-mobile),,
430351,201002,Miscellaneous goods and services,Personal care,/ Appliances and products for personal care,Electric appliances for personal care - Not being published,Household items,Electrical,Electric hair styling appliance,,44.7
430355,201102,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Cleaning equipment,Household items,Electrical,Vacuum cleaner,,
430356,201102,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Clothes washing machines; clothes drying machines and dish washing machines,Household items,Electrical,Dish washer,,401.275
430357,201102,Communication,/ Telephone and telefax equip,Telephone and Telefax Equipment & Services,Mobile telephone equipment,Household items,Electrical,Smart phone,,
430358,201302,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Heaters; air conditioners,Household items,Electrical,Electric heater,,35.274
430359,201302,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Other small electric household appliances,Household items,Electrical,Electric fan,,
430361,201502,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Clothes washing machines; clothes drying machines and dish washing machines,Household items,Electrical,Washing machine,,
430362,201502,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Refrigerators; freezers and fridge-freezers,Household items,Electrical,Fridge/freezer,,468.937
430363,201902,Miscellaneous goods and services,Personal care,/ Appliances and products for personal care,Electric appliances for personal care - Not being published,Household items,Electrical,Electric toothbrush,,
430364,202302,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Miscellaneous small tool accessories,Household items,Electrical,Security or surveillance camera, ,
430365,202402,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Other small electric household appliances,Household items,Electrical,Air Fryer,,110.911
430407,198702,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Non-electric kitchen utensils and articles,Household items,Cookware,Small milk pan,,8.61
430409,198702,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Non-electric kitchen utensils and articles,Household items,Stationary,Scissors,,3.71
430413,198902,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Heaters; air conditioners,Household items,Solid and liquid fuels,Gas fire,,564.867
430414,198902,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",/ Major appliances and small electric goods,Cookers,Household items,Cookware,Gas cooker,,390.038
430418,199702,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Non-electric kitchen utensils and articles,Household items,Cookware,Plastic food storage container,single,
430419,200102,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Cutlery; flatware and silverware,Household items,Cookware,Stainless steel cutlery set,,17.949
430422,200402,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Glassware; crystal-ware; ceramic ware and chinaware,Household items,Chinaware and glassware,Plain glass tumbler,single,1.574
430423,200501,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Non-electric kitchen utensils and articles,Household items,Cookware,Frying pan (non-stick),24-30cm,17.516
430425,201902,"Furniture, household equipment and maintenance","Glassware, tableware and household utensils","Glassware, Tableware and Household Utensils",Glassware; crystal-ware; ceramic ware and chinaware,Household items,Chinaware and glassware,Dinner plate,,4.61
430503,198702,Recreation and culture,"Books, newspapers and stationery","/ Misc printed matter, stationery, drawing materials",Other stationery and drawing materials,Household items,Stationary,Ballpoint pen,single,0.498
430505,198702,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Other non-durable small household articles,Household items,Cookware,Aluminium cooking foil,290-300mm,2.258
430507,198702,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Washing up liquid,380-900ml,1.127
430509,198702,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Household cleaner liquid,450-500ml,1.358
430524,199802,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Miscellaneous small tool accessories,Household items,Electrical,Light bulb,single,3.223
430525,199902,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Other non-durable small household articles,Household items,Stationary,Clear sticky tape,per roll,1.912
430526,200102,Recreation and culture,"Books, newspapers and stationery","/ Misc printed matter, stationery, drawing materials",Miscellaneous printed matter,Household items,Stationary,Greetings card,,2.164
430527,200102,Recreation and culture,"Books, newspapers and stationery","/ Misc printed matter, stationery, drawing materials",Paper products,Household items,Stationary,A4 printer paper,500 sheets,7.42
430529,200302,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Bleach,750ml,1.002
430530,200302,Recreation and culture,"Books, newspapers and stationery","/ Misc printed matter, stationery, drawing materials",Other stationery and drawing materials,Household items,Stationary,Black inkjet cartridge,single pack,23.323
430531,200402,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Fabric conditioner,500ml-1.5litre,2.253
430533,200402,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Other non-durable small household articles,Household items,Cleaning,Kitchen roll,pack of 2-4,2.752
430535,200501,Recreation and culture,"Books, newspapers and stationery","/ Misc printed matter, stationery, drawing materials",Paper products,Household items,Stationary,Wrapping paper,per sheet,0.848
430536,200501,Miscellaneous goods and services,Personal care,/ Appliances and products for personal care,Articles for personal hygiene and wellness,Household items,Other,Toilet rolls,pack of 4,
430538,201502,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Dishwasher tablets,pack of 16-45,
430539,201802,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Miscellaneous small tool accessories,Household items,Electrical,AA battery,pack of 4,4.766
430540,201902,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Washing detergent,800ml-1.5litre,6.58
430541,202102,"Furniture, household equipment and maintenance",Tools and equipment for house and garden,Tools and equipment for House and Garden,Miscellaneous small tool accessories,Household items,Electrical,Smart Wi-Fi light bulb,each,15.801
430542,202202,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Cleaning and maintenance products,Household items,Cleaning,Antibacterial surface wipes,per pack,2.093
430543,202202,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Non-durable household goods,Other non-durable small household articles,Household items,Cleaning,Bin liners for kitchen use,per pack,2.464
430613,199602,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Can of dog food,385-400g,1.028
430617,200202,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Pet cage for a small mammal,,34.178
430621,200302,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Veterinary and other services for pets,Recreation and culture,Pets,Annual booster injection (medium dog),,66.719
430622,200302,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Veterinary and other services for pets,Recreation and culture,Pets,Dog kennel fees,daily charge,24.126
430623,200501,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Purchase of pets,Recreation and culture,Pets,Small pet mammal,,
430624,200902,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Cat food pouch,85-100g,
430626,201902,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Dog treats,70-400g,1.728
430627,202202,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Pet collar,single,8.673
430628,202402,Recreation and culture,"Other recreational items, gardens and pets","/ Pets, related products and services",Products for pets,Recreation and culture,Pets,Bird seed,900g-3.5kg,3.234
440101,198702,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Domestic services and household services,Other domestic services and household services,Services,Maintenance and repair,Domestic cleaner,hourly rate,16.787
440104,198702,Clothing and footwear,Clothing,"Cleaning, repair and hire of clothing",Cleaning of clothing,Services,Other,Dry cleaning mans suit,,16.357
440105,198702,Transport,Operation of personal transport equipment,Other services,Driving lessons; test licences and road worthiness tests,Services,Other,Driving lesson,per hour,38.368
440112,199302,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",Repair of household appliances,Repair of household appliances,Services,Other,Electrical service charge,,
440113,199502,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Domestic services and household services,Other domestic services and household services,Services,Maintenance and repair,Window cleaning,average 3-bed semi detached,20.083
440116,199902,"Furniture, household equipment and maintenance","Household appliances, fitting and repairs",Repair of household appliances,Repair of household appliances,Services,Maintenance and repair,Washing machine repair,,63.954
440118,199902,Recreation and culture,Audio-visual equipment and related products,"Repair of audio-visual equipment , related products","Repair of audio-visual equipment , related products",Services,Maintenance and repair,PC repair,,50.139
440120,200102,Miscellaneous goods and services,Social protection,Social Protection,Child care services,Services,Care,Child minder,hourly rate,5.475
440121,200102,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Services,Other,Event catering,cost per head,9.838
440122,200402,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Other fees and services,Services,Delievery services,Home delivery charges,,
440123,200402,Transport,Transport services,Passenger transport by road,Removal and storage services (was previously - International flights - No,Services,Other,Home removal van,,561.057
440126,200501,"Furniture, household equipment and maintenance",Goods and services for routine maintenance,Domestic services and household services,Domestic services by paid staff,Services,Care,Nanny fees,weekly,658.815
440127,200501,Transport,Transport services,Passenger transport by road,Removal and storage services (was previously - International flights - No,Services,Other,Self-storage fee,monthly,119.239
440128,200501,Miscellaneous goods and services,Social protection,Social Protection,Services to maintain people in their private homes,Services,Care,Home care assistant,hourly rate,26.887
440129,200602,Miscellaneous goods and services,Social protection,Social Protection,Child care services,Services,Care,Playgroup fees,per session,1.856
440131,200902,Miscellaneous goods and services,Personal effects (nec),"Jewellery, clocks and watches",Repair of jewellery; clocks and watches,Services,Maintenance and repair,Watch battery replacement,individual,
440132,201402,Clothing and footwear,Clothing,"Cleaning, repair and hire of clothing",Repair and hire of clothing,Services,Other,Men's clothing hire,"Lounge wear, tuxedo, tails or kilt",
440204,198702,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Other fees and services,Services,Other,Trade union and professional organisational subs,,
440208,198702,Miscellaneous goods and services,Insurance,House contents insurance,House contents insurance,Services,Other,House contents insurance,,
440218,199502,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Other fees and services,Services,Other,Surveyors fees for mortgage valuation,,
440224,199702,Transport,Operation of personal transport equipment,Other services,Driving lessons; test licences and road worthiness tests,Services,Other,Driving test fees,,
440227,199802,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Funeral services,Services,Other,Standard funeral cremation service,,3534.031
440229,200002,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Administrative fees,Services,Other,"Birth, deaths and marriages fee",,
440230,200002,Education,Education,Education,Tertiary education,Services,Other,University tuition (international),,
440231,200002,Miscellaneous goods and services,Other services (nec),Other Services Not Elsewhere covered,Administrative fees,Services,Other,Passport fees,,
440232,200102,Miscellaneous goods and services,Social protection,Social Protection,Child care services,Services,Care,Nursery fees (0-4 yrs.),per day,53.988
